b'#JusticeForLoki  #Loki \n#LokiDeservedBetter #LokisArmy #Lokiday #BringLokibackalive #BringBackLokiAlive\xe2\x80\xa6 https://t.co/ed2111btQn'
"b'RT @HollandALike: ""Your The @SpiderMan From YouTube!"" - Here is my first ever photo of me as @TomHolland1996 in @SpiderManMovie Homecoming!\xe2\x80\xa6'"
b'RT @PipReyes: I hope #Solo is good! #StarWars #AvengersInfinityWar #Avengers #soloa https://t.co/IJd5QJkyL9'
b'#JusticeForLoki  #Loki \n#LokiDeservedBetter #LokisArmy #Lokiday #BringLokibackalive #BringBackLokiAlive\xe2\x80\xa6 https://t.co/VlaUebGYBi'
b'RT @nickykuny: 100\xe5\x9d\x87\xe3\x81\xa7\xe8\xb2\xb7\xe3\x81\xa3\xe3\x81\x9f\xe6\x9d\xbf\xe3\x81\xab\xe3\x83\xaa\xe3\x83\xa1\xe3\x82\xa4\xe3\x82\xaf\xe3\x82\xb7\xe3\x83\xbc\xe3\x83\x88\xe8\xb2\xbc\xe3\x82\x8a\xe4\xbb\x98\xe3\x81\x91\xe3\x81\xa6\xe7\x94\xbb\xe9\x8b\xb2\xe5\x88\xba\xe3\x81\x97\xe3\x81\xa6\xe5\x8d\xb3\xe5\xb8\xad\xe3\x83\x95\xe3\x82\xa3\xe3\x83\xb3\xe3\x82\xac\xe3\x83\xbc\xe3\x83\x9c\xe3\x83\xbc\xe3\x83\x89\xe7\xab\x8b\xe3\x81\xa6\xe3\x81\xae\xe5\x87\xba\xe6\x9d\xa5\xe4\xb8\x8a\xe3\x81\x8c\xe3\x82\x8a\xe3\x80\x82\n#Marvel #AvengersInfinityWar #Happy\xe3\x81\x8f\xe3\x81\x98 https://t.co/GUjSfIUmIZ'
b'I thought #RedSkull would a ruling a planet or something.\nNot a security guard. #avengersinfinitywar'
b'RT @GhettoSiv_SA: Tired of these d*ckriders\xf0\x9f\x98\xa4\xf0\x9f\x92\xaf Retweet!!\xf0\x9f\x93\xba @gucci1017  Follow @GhettoSiv_SA \n\n#1FIRST #TouchMyBloodChallenge #lit #TrapaDrive\xe2\x80\xa6'
b'#JusticeForLoki  #Loki \n#LokiDeservedBetter #LokisArmy #Lokiday #BringLokibackalive #BringBackLokiAlive\xe2\x80\xa6 https://t.co/roy8yKh86F'
"b'RT @FasterMK: \xe0\xa4\xb0\xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\xb6- \xe0\xa4\x95\xe0\xa4\xb2 \xe0\xa4\xae\xe0\xa5\x88\xe0\xa4\x82 #AvengersInfinityWar \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\x96\xe0\xa4\x95\xe0\xa4\xb0 \xe0\xa4\x86\xe0\xa4\xaf\xe0\xa4\xbe, \xe0\xa4\x85\xe0\xa4\x9a\xe0\xa5\x8d\xe0\xa4\x9b\xe0\xa4\xbe \xe0\xa4\xac\xe0\xa4\xa4\xe0\xa4\xbe \xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\x9c\xe0\xa4\xa8 \xe0\xa4\x85\xe0\xa4\x97\xe0\xa4\xb0 \xe0\xa4\xa4\xe0\xa5\x87\xe0\xa4\xb2 \xe0\xa4\xac\xe0\xa5\x87\xe0\xa4\x9a\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\xb2\xe0\xa4\x97 \xe0\xa4\x9c\xe0\xa4\xbe\xe0\xa4\x8f \xe0\xa4\xa4\xe0\xa5\x8b \xe0\xa4\x89\xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa4\xb9\xe0\xa5\x87\xe0\xa4\x82\xe0\xa4\x97\xe0\xa5\x87 ?\n.\nMe- \xe0\xa4\xaa\xe0\xa4\xa4\xe0\xa4\xbe \xe0\xa4\xa8\xe0\xa4\xb9\xe0\xa5\x80, \xe0\xa4\xa4\xe0\xa5\x82 \xe0\xa4\xac\xe0\xa4\xa4\xe0\xa4\xbe \xf0\x9f\xa4\x94\xe2\x80\xa6'"
b'For sure\n#JusticeForLoki  #Loki \n#LokiDeservedBetter #LokisArmy #Lokiday #BringLokibackalive #BringBackLokiAlive\xe2\x80\xa6 https://t.co/rJCuDV4xh4'
"b'Memorial Day Sale @Society6 UP TO 40% OFF EVERYTHING! UseCode LONGWKND https://t.co/947YilEEgn 40% off tapestries,\xe2\x80\xa6 https://t.co/4f5QE1bPdI'"
b'100\xe5\x9d\x87\xe3\x81\xa7\xe8\xb2\xb7\xe3\x81\xa3\xe3\x81\x9f\xe6\x9d\xbf\xe3\x81\xab\xe3\x83\xaa\xe3\x83\xa1\xe3\x82\xa4\xe3\x82\xaf\xe3\x82\xb7\xe3\x83\xbc\xe3\x83\x88\xe8\xb2\xbc\xe3\x82\x8a\xe4\xbb\x98\xe3\x81\x91\xe3\x81\xa6\xe7\x94\xbb\xe9\x8b\xb2\xe5\x88\xba\xe3\x81\x97\xe3\x81\xa6\xe5\x8d\xb3\xe5\xb8\xad\xe3\x83\x95\xe3\x82\xa3\xe3\x83\xb3\xe3\x82\xac\xe3\x83\xbc\xe3\x83\x9c\xe3\x83\xbc\xe3\x83\x89\xe7\xab\x8b\xe3\x81\xa6\xe3\x81\xae\xe5\x87\xba\xe6\x9d\xa5\xe4\xb8\x8a\xe3\x81\x8c\xe3\x82\x8a\xe3\x80\x82\n#Marvel #AvengersInfinityWar #Happy\xe3\x81\x8f\xe3\x81\x98 https://t.co/GUjSfIUmIZ'
b'If only #JusticeForLoki  #Loki \n#LokiDeservedBetter #LokisArmy #Lokiday #BringLokibackalive #BringBackLokiAlive\xe2\x80\xa6 https://t.co/qQHls2Ti4J'
